theta_cs, phi_cs, theta_prime, phi_prime
0,0,nan,nan
0.0754827,0,0.00673901,-135.165
0.150965,0,0.0134732,-67.6435
0.226448,0,0.0201452,-45.2925
0.301931,0,0.0266963,-34.2388
0.377414,0,0.0330658,-27.7091
0.452896,0,0.0391925,-23.4471
0.528379,0,0.0450145,-20.487
0.603862,0,0.0504706,-18.347
0.679344,0,0.0555017,-16.7607
0.754827,0,0.0600527,-15.5689
0.83031,0,0.064075,-14.6714
0.905792,0,0.0675295,-14.0017
0.981275,0,0.0703904,-13.5142
1.05676,0,0.0726482,-13.1761
1.13224,0,0.0743136,-12.9627
1.20772,0,0.0754198,-12.854
1.28321,0,0.0760235,-12.8327
1.35869,0,0.0762038,-12.882
1.43417,0,0.0760587,-12.9849
1.50965,0,0.0756999,-13.1236
1.58514,0,3.06617,13.2195
1.66062,0,3.06574,13.0679
1.7361,0,3.06545,12.9406
1.81158,0,3.06541,12.856
1.88707,0,3.06574,12.8316
1.96255,0,3.06653,12.8841
2.03803,0,3.06784,13.0304
2.11352,0,3.06973,13.2886
2.189,0,3.07222,13.6802
2.26448,0,3.07531,14.2325
2.33996,0,3.07898,14.9825
2.41545,0,3.08321,15.9826
2.49093,0,3.08795,17.31
2.56641,0,3.09315,19.0836
2.64189,0,3.09875,21.4954
2.71738,0,3.1047,24.8759
2.79286,0,3.11092,29.8436
2.86834,0,3.11737,37.7032
2.94383,0,3.12397,51.7539
3.01931,0,3.13067,83.4464
3.09479,0,3.13742,218.114
0,0.153211,nan,nan
0.0754827,0.153211,0.00673946,-135.002
0.150965,0.153211,0.0134768,-67.4705
0.226448,0.153211,0.0201572,-45.1099
0.301931,0.153211,0.026724,-34.0467
0.377414,0.153211,0.0331183,-27.5079
0.452896,0.153211,0.0392797,-23.2372
0.528379,0.153211,0.045146,-20.269
0.603862,0.153211,0.0506549,-18.1217
0.679344,0.153211,0.0557449,-16.5288
0.754827,0.153211,0.0603573,-15.3316
0.83031,0.153211,0.0644388,-14.4299
0.905792,0.153211,0.0679451,-13.7577
0.981275,0.153211,0.0708443,-13.2698
1.05676,0.153211,0.0731216,-12.9336
1.13224,0.153211,0.0747832,-12.7248
1.20772,0.153211,0.0758596,-12.6238
1.28321,0.153211,0.0764071,-12.6133
1.35869,0.153211,0.0765073,-12.6766
1.43417,0.153211,0.0762632,-12.7964
1.50965,0.153211,0.0757934,-12.9541
1.58514,0.153211,3.06615,13.3689
1.66062,0.153211,3.0656,13.1973
1.7361,0.153211,3.0652,13.0518
1.81158,0.153211,3.06508,12.9513
1.88707,0.153211,3.06534,12.9141
1.96255,0.153211,3.06608,12.9571
2.03803,0.153211,3.06737,13.0969
2.11352,0.153211,3.06926,13.3516
2.189,0.153211,3.07178,13.7422
2.26448,0.153211,3.07491,14.2958
2.33996,0.153211,3.07864,15.0489
2.41545,0.153211,3.08293,16.0536
2.49093,0.153211,3.08773,17.3869
2.56641,0.153211,3.09298,19.1674
2.64189,0.153211,3.09864,21.5869
2.71738,0.153211,3.10462,24.9757
2.79286,0.153211,3.11088,29.9523
2.86834,0.153211,3.11735,37.8211
2.94383,0.153211,3.12396,51.8813
3.01931,0.153211,3.13067,83.5836
3.09479,0.153211,3.13742,218.261
0,0.306422,nan,nan
0.0754827,0.306422,0.0067408,-134.819
0.150965,0.306422,0.0134874,-67.2585
0.226448,0.306422,0.0201928,-44.8691
0.301931,0.306422,0.0268068,-33.7778
0.377414,0.306422,0.0332756,-27.2119
0.452896,0.306422,0.0395415,-22.9154
0.528379,0.306422,0.0455424,-19.9229
0.603862,0.306422,0.0512128,-17.7532
0.679344,0.306422,0.0564842,-16.1405
0.754827,0.306422,0.0612875,-14.9266
0.83031,0.306422,0.0655554,-14.012
0.905792,0.306422,0.0692265,-13.3317
0.981275,0.306422,0.0722507,-12.8413
1.05676,0.306422,0.0745953,-12.5097
1.13224,0.306422,0.0762511,-12.3137
1.20772,0.306422,0.0772388,-12.2348
1.28321,0.306422,0.077613,-12.2563
1.35869,0.306422,0.0774624,-12.3619
1.43417,0.306422,0.0769064,-12.5333
1.50965,0.306422,0.0760867,-12.7499
1.58514,0.306422,3.06608,13.51
1.66062,0.306422,3.06517,13.2765
1.7361,0.306422,3.06444,13.0745
1.81158,0.306422,3.06402,12.9258
1.88707,0.306422,3.06405,12.8502
1.96255,0.306422,3.06465,12.8649
2.03803,0.306422,3.06589,12.9863
2.11352,0.306422,3.06781,13.2315
2.189,0.306422,3.07041,13.6203
2.26448,0.306422,3.07369,14.1786
2.33996,0.306422,3.07759,14.9418
2.41545,0.306422,3.08207,15.961
2.49093,0.306422,3.08706,17.3122
2.56641,0.306422,3.09249,19.1135
2.64189,0.306422,3.0983,21.5562
2.71738,0.306422,3.1044,24.9699
2.79286,0.306422,3.11075,29.9729
2.86834,0.306422,3.11728,37.8692
2.94383,0.306422,3.12394,51.9578
3.01931,0.306422,3.13067,83.6891
3.09479,0.306422,3.13742,218.396
0,0.459633,nan,nan
0.0754827,0.459633,0.006743,-134.617
0.150965,0.459633,0.013505,-67.0089
0.226448,0.459633,0.0202516,-44.5722
0.301931,0.459633,0.0269439,-33.4348
0.377414,0.459633,0.0335371,-26.8243
0.452896,0.459633,0.0399791,-22.4851
0.528379,0.459633,0.0462095,-19.4524
0.603862,0.459633,0.0521587,-17.2456
0.679344,0.459633,0.0577484,-15.5993
0.754827,0.459633,0.0628928,-14.3564
0.83031,0.459633,0.067501,-13.4185
0.905792,0.459633,0.0714821,-12.7219
0.981275,0.459633,0.0747518,-12.2242
1.05676,0.459633,0.0772416,-11.8963
1.13224,0.459633,0.0789103,-11.7176
1.20772,0.459633,0.0797559,-11.6721
1.28321,0.459633,0.079825,-11.7454
1.35869,0.459633,0.0792186,-11.9219
1.43417,0.459633,0.0780883,-12.1829
1.50965,0.459633,0.0766235,-12.5044
1.58514,0.459633,3.06596,13.6412
1.66062,0.459633,3.06439,13.2961
1.7361,0.459633,3.06302,12.9944
1.81158,0.459633,3.06207,12.763
1.88707,0.459633,3.06171,12.6237
1.96255,0.459633,3.06206,12.5939
2.03803,0.459633,3.06322,12.6883
2.11352,0.459633,3.0652,12.9216
2.189,0.459633,3.06799,13.3112
2.26448,0.459633,3.07154,13.8805
2.33996,0.459633,3.07577,14.6628
2.41545,0.459633,3.0806,15.7076
2.49093,0.459633,3.08592,17.0897
2.56641,0.459633,3.09166,18.9261
2.64189,0.459633,3.09772,21.4071
2.71738,0.459633,3.10404,24.8621
2.79286,0.459633,3.11055,29.9085
2.86834,0.459633,3.11718,37.85
2.94383,0.459633,3.1239,51.9852
3.01931,0.459633,3.13066,83.764
3.09479,0.459633,3.13742,218.519
0,0.612844,nan,nan
0.0754827,0.612844,0.00674601,-134.398
0.150965,0.612844,0.0135291,-66.7238
0.226448,0.612844,0.0203325,-44.2226
0.301931,0.612844,0.0271336,-33.0221
0.377414,0.612844,0.0339015,-26.3505
0.452896,0.612844,0.0405942,-21.9528
0.528379,0.612844,0.0471562,-18.8645
0.603862,0.612844,0.0535162,-16.6056
0.679344,0.612844,0.0595856,-14.9116
0.754827,0.612844,0.0652582,-13.6261
0.83031,0.612844,0.070411,-12.652
0.905792,0.612844,0.0749091,-11.9275
0.981275,0.612844,0.078613,-11.4126
1.05676,0.612844,0.0813922,-11.0815
1.13224,0.612844,0.0831432,-10.9179
1.20772,0.612844,0.0838134,-10.9106
1.28321,0.612844,0.0834244,-11.0504
1.35869,0.612844,0.0820903,-11.3261
1.43417,0.612844,0.0800195,-11.7199
1.50965,0.612844,0.0774949,-12.2042
1.58514,0.612844,3.06575,13.7591
1.66062,0.612844,3.0631,13.2375
1.7361,0.612844,3.06072,12.7836
1.81158,0.612844,3.0589,12.432
1.88707,0.612844,3.0579,12.2063
1.96255,0.612844,3.05791,12.1212
2.03803,0.612844,3.05899,12.1868
2.11352,0.612844,3.06114,12.4126
2.189,0.612844,3.06428,12.8112
2.26448,0.612844,3.06831,13.402
2.33996,0.612844,3.07307,14.2156
2.41545,0.612844,3.07844,15.2992
2.49093,0.612844,3.08427,16.726
2.56641,0.612844,3.09046,18.6118
2.64189,0.612844,3.09691,21.1463
2.71738,0.612844,3.10353,24.6581
2.79286,0.612844,3.11026,29.764
2.86834,0.612844,3.11704,37.7674
2.94383,0.612844,3.12385,51.9663
3.01931,0.612844,3.13064,83.8102
3.09479,0.612844,3.13742,218.631
0,0.766055,nan,nan
0.0754827,0.766055,0.00674976,-134.162
0.150965,0.766055,0.0135592,-66.4065
0.226448,0.766055,0.0204341,-43.8247
0.301931,0.766055,0.0273735,-32.5457
0.377414,0.766055,0.0343665,-25.798
0.452896,0.766055,0.0413878,-21.3269
0.528379,0.766055,0.0483935,-18.1687
0.603862,0.766055,0.0553168,-15.8435
0.679344,0.766055,0.0620634,-14.0875
0.754827,0.766055,0.0685078,-12.7449
0.83031,0.766055,0.0744904,-11.7197
0.905792,0.766055,0.0798188,-10.9516
0.981275,0.766055,0.0842728,-10.4032
1.05676,0.766055,0.0876196,-10.053
1.13224,0.766055,0.0896401,-9.89076
1.20772,0.766055,0.0901703,-9.91408
1.28321,0.766055,0.0891562,-10.1247
1.35869,0.766055,0.0867078,-10.5227
1.43417,0.766055,0.0831277,-11.0984
1.50965,0.766055,0.0788843,-11.8232
1.58514,0.766055,3.06544,13.8571
1.66062,0.766055,3.06105,13.0652
