theta_cs, phi_cs, theta_prime, phi_prime
1.57079,1.57079,1.5254,1.52541
1.57156,1.57079,2.55604,3.07505
1.57233,1.57079,2.58619,3.17624
1.57309,1.57079,2.60003,3.22366
1.57386,1.57079,2.60328,3.23599
1.57463,1.57079,2.61167,3.26849
1.57539,1.57079,2.61613,3.28488
1.57616,1.57079,2.61481,3.27952
1.57692,1.57079,2.62026,3.30008
1.57769,1.57079,2.62405,3.31473
1.57846,1.57079,2.62736,3.32765
1.57922,1.57079,2.62999,3.33775
1.57999,1.57079,2.62699,3.32453
1.58075,1.57079,2.63432,3.3544
1.58152,1.57079,2.63635,3.36222
1.58229,1.57079,2.63266,3.34569
1.58305,1.57079,2.63858,3.37021
1.58382,1.57079,2.6423,3.38539
1.58458,1.57079,2.63948,3.37268
1.58535,1.57079,2.6378,3.36443
1.58612,1.57079,2.64016,3.37383
1.58688,1.57079,2.6454,3.39582
1.58765,1.57079,2.6418,3.37932
1.58841,1.57079,2.64336,3.38537
1.58918,1.57079,2.64337,3.3846
1.58995,1.57079,2.64474,3.38992
1.59071,1.57079,2.64648,3.39669
1.59148,1.57079,2.64799,3.40266
1.59224,1.57079,2.64975,3.40974
1.59301,1.57079,2.64949,3.40776
1.59378,1.57079,2.65294,3.42257
1.59454,1.57079,2.65084,3.41229
1.59531,1.57079,2.64985,3.4071
1.59607,1.57079,2.65126,3.41266
1.59684,1.57079,2.65251,3.41746
1.59761,1.57079,2.65289,3.4184
1.59837,1.57079,2.65538,3.42892
1.59914,1.57079,2.65509,3.4272
1.59991,1.57079,2.65468,3.42423
1.60067,1.57079,2.65599,3.42937
1.60144,1.57079,2.65611,3.42918
1.6022,1.57079,2.65836,3.43877
1.60297,1.57079,2.65854,3.43892
1.60374,1.57079,2.6598,3.44391
1.6045,1.57079,2.65893,3.43907
1.60527,1.57079,2.66248,3.45487
1.60603,1.57079,2.66235,3.45349
1.6068,1.57079,2.66124,3.44748
1.60757,1.57079,2.66219,3.45118
1.60833,1.57079,2.66495,3.46341
1.6091,1.57079,2.66545,3.465
1.60986,1.57079,2.66386,3.45666
1.61063,1.57079,2.66474,3.46004
1.6114,1.57079,2.66593,3.46492
1.61216,1.57079,2.66695,3.46902
1.61293,1.57079,2.66735,3.47019
1.61369,1.57079,2.67003,3.48233
1.61446,1.57079,2.66836,3.47377
1.61523,1.57079,2.66904,3.47604
1.61599,1.57079,2.6702,3.48076
1.61676,1.57079,2.67034,3.48082
